%--------------------------------%
%   BLADE GEOMETRY DEFINITION    %
%--------------------------------%

% Distance from root [-]   Chord [m]            Twist [deg]          Thickness [%]        Pitch axis [%]       PreBend [m]          Airfoil

% pitch axis: quanto tratto di corda è verso il LE e quanto verso il TE, 30% significa che 3/10 è verso il LE
% il primo airfoil sarà un cilindro ad esempio 

0.0000     1.880000        18.754200       1.000000e+02    50.000000        0.000000        1
0.0111     1.880000        18.754200       9.475382e+01    50.000000        0.000000        1
0.0222     1.880000        18.754200       8.969820e+01    50.000000        0.000000        1
0.0333     1.915469        18.745835       8.486392e+01    49.475630        0.000000        1
0.0444     2.013660        18.718470       8.021196e+01    48.099440        0.000000        1
0.0556     2.160980        18.669060       7.578091e+01    46.179570        0.000000        1
0.0667     2.344390        18.594370       7.156999e+01    44.018460        0.000000        1
0.0778     2.550710        18.491240       6.757915e+01    41.920020        0.000000        1
0.0889     2.766760        18.356490       6.381247e+01    40.188100        0.000000        1
0.1000     2.979380        18.186940       6.027397e+01    38.786480        0.000000        1
0.1111     3.175390        17.979430       5.696773e+01    37.483920        0.000000        1
0.1222     3.344110        17.730770       5.389777e+01    36.291860        0.000000        1
0.1333     3.484840        17.437790       5.106817e+01    35.221700        0.000000        1
0.1444     3.599400        17.097330       4.848296e+01    34.284860        0.000000        1
0.1556     3.689580        16.706190       4.614421e+01    33.492750        0.000000        1
0.1667     3.757200        16.262980       4.406017e+01    32.856800        0.000000        1
0.1778     3.804050        15.773340       4.223269e+01    32.388410        0.000000        1
0.1889     3.831940        15.244670       4.066580e+01    32.099010        0.000000        1
0.1950     3.839840        14.939975       3.991653e+01    32.044559        0.000000        2
0.2000     3.842680        14.684410       3.935645e+01    32.000000        0.000000        2
0.2111     3.838080        14.099950       3.825081e+01    32.000000        0.000000        2
0.2222     3.819930        13.498700       3.730268e+01    32.000000        0.000000        2
0.2333     3.790040        12.888090       3.647040e+01    32.000000        0.000000        2
0.2444     3.750220        12.275510       3.571233e+01    32.000000        0.000000        2
0.2556     3.702270        11.668390       3.498617e+01    32.000000        0.000000        3
0.2667     3.648000        11.074130       3.428637e+01    32.000000        0.000000        3
0.2778     3.589220        10.500150       3.362790e+01    32.000000        0.000000        3
0.2889     3.527720        9.953850        3.300590e+01    32.000000        0.000000        3
0.3000     3.465030        9.441170        3.241551e+01    32.000000        0.000000        3
0.3111     3.401580        8.962070        3.185188e+01    32.000000        0.000000        3
0.3222     3.337510        8.515030        3.131014e+01    32.000000        0.000000        3
0.3333     3.272950        8.098520        3.078544e+01    32.000000        0.000000        3
0.3444     3.208050        7.711040        3.027292e+01    32.000000        0.000000        3
0.3556     3.142940        7.351060        2.976653e+01    32.000000        0.000000        4
0.3667     3.077770        7.017060        2.926036e+01    32.000000        0.000000        4
0.3778     3.012680        6.707520        2.875650e+01    32.000000        0.000000        4
0.3889     2.947820        6.420920        2.825890e+01    32.000000        0.000000        4
0.4000     2.883310        6.155740        2.777151e+01    32.000000        0.000000        4
0.4111     2.819310        5.910470        2.729828e+01    32.000000        0.000000        4
0.4222     2.755940        5.683570        2.684317e+01    32.000000        0.000000        4
0.4333     2.693370        5.473540        2.641014e+01    32.000000        0.000000        4
0.4444     2.631720        5.278850        2.600313e+01    32.000000        0.000000        4
0.4556     2.571130        5.097980        2.562578e+01    32.000000        0.000000        4
0.4667     2.511750        4.929410        2.528272e+01    32.000000        0.000000        4
0.4778     2.453720        4.771630        2.497745e+01    32.000000        0.000000        5
0.4889     2.397180        4.623110        2.469558e+01    32.000000        0.000000        5
0.5000     2.342270        4.482330        2.442434e+01    32.000000        0.000000        5
0.5111     2.289130        4.347770        2.416336e+01    32.000000        0.000000        5
0.5222     2.237900        4.217920        2.391224e+01    32.000000        0.000000        5
0.5333     2.188720        4.091250        2.367062e+01    32.000000        0.000000        5
0.5444     2.141740        3.966240        2.343812e+01    32.000000        0.000000        5
0.5556     2.097090        3.841380        2.321415e+01    32.000000        0.000000        5
0.5667     2.054920        3.715140        2.299874e+01    32.000000        0.000000        5
0.5778     2.015360        3.586010        2.279132e+01    32.000000        0.000000        5
0.5889     1.978560        3.452450        2.259149e+01    32.000000        0.000000        5
0.6000     1.944660        3.312970        2.239888e+01    32.000000        0.000000        5
0.6111     1.913750        3.166410        2.221311e+01    32.000000        0.000000        5
0.6222     1.885720        3.013200        2.203380e+01    32.000000        0.000000        5
0.6333     1.860390        2.854120        2.186057e+01    32.000000        0.000000        5
0.6444     1.837620        2.689980        2.169305e+01    32.000000        0.000000        5
0.6556     1.817230        2.521570        2.153071e+01    32.000000        0.000000        5
0.6667     1.799060        2.349690        2.137346e+01    32.000000        0.000000        5
0.6778     1.782960        2.175130        2.122077e+01    32.000000        0.000000        5
0.6889     1.768750        1.998700        2.107228e+01    32.000000        0.000000        5
0.7000     1.756260        1.821190        2.092728e+01    32.000000        0.000000        6
0.7111     1.745350        1.643400        2.078382e+01    32.000000        0.000000        6
0.7222     1.735850        1.466120        2.064173e+01    32.000000        0.000000        6
0.7333     1.727580        1.290150        2.050117e+01    32.000000        0.000000        6
0.7444     1.720390        1.116290        2.036230e+01    31.983230        0.000000        6
0.7556     1.714120        0.945330        2.022516e+01    31.933920        0.000000        6
0.7667     1.708590        0.778080        2.009015e+01    31.853540        0.000000        6
0.7778     1.703660        0.615330        1.995731e+01    31.743570        0.000000        6
0.7889     1.699150        0.457870        1.982679e+01    31.605490        0.000000        6
0.8000     1.694900        0.306500        1.969875e+01    31.440780        0.000000        6
0.8111     1.690740        0.162030        1.957337e+01    31.250920        0.000000        6
0.8222     1.686520        0.025240        1.945078e+01    31.037390        0.000000        6
0.8333     1.682070        -0.103070       1.933115e+01    30.801680        0.000000        6
0.8444     1.677230        -0.222090       1.921464e+01    30.545240        0.000000        6
0.8556     1.671290        -0.330720       1.910132e+01    30.269580        0.000000        6
0.8667     1.661430        -0.426580       1.899153e+01    29.976160        0.000000        6
0.8778     1.644270        -0.506960       1.888534e+01    29.666470        0.000000        6
0.8889     1.616440        -0.569170       1.878290e+01    29.341990        0.000000        6
0.9000     1.574580        -0.610520       1.868438e+01    29.004190        0.000000        6
0.9111     1.515310        -0.628310       1.858993e+01    28.654560        0.000000        6
0.9222     1.435260        -0.619830       1.849972e+01    28.294570        0.000000        6
0.9333     1.331060        -0.582400       1.841389e+01    27.925700        0.000000        6
0.9444     1.199340        -0.513320       1.833262e+01    27.549440        0.000000        6
0.9556     1.036730        -0.409880       1.825599e+01    27.167260        0.000000        6
0.9667     0.839860        -0.269400       1.818429e+01    26.780640        0.000000        6
0.9700     0.773766        -0.219857       1.816377e+01    26.663871        0.000000        6
0.9778     0.605360        -0.089170       1.811762e+01    26.391060        0.000000        6
0.9889     0.329870        0.133490        1.805614e+01    26.000000        0.000000        6
1.0000     0.100000        0.401300        1.800000e+01    50.000000        0.000000        6
