%--------------------------------% 
%      BLADE MASS DEFINITION     % 
%--------------------------------% 

% Distance from root [-]     Centre of Mass [% chord]     Mass/unit length [kg/m]      Mom. Inertia/unit length [kgm] 



0.0000     50.000000       754.183394      612.328409       
0.0111     49.960992       614.884531      487.612953       
0.0222     49.921913       473.902870      362.672784       
0.0333     49.360771       333.481198      238.182041       
0.0444     49.406562       306.313604      230.326055       
0.0556     48.875564       292.708274      236.393548       
0.0667     47.864666       279.172912      242.455585       
0.0778     46.819624       263.459416      247.976131       
0.0889     45.990305       247.196449      253.355659       
0.1000     45.368100       230.938942      258.735187       
0.1111     44.612587       226.456703      269.372257       
0.1222     43.894932       227.274460      282.375564       
0.1333     43.318117       228.029387      295.378871       
0.1444     42.613119       226.080019      296.496356       
0.1556     41.898474       222.215104      289.205477       
0.1667     41.386959       218.287742      281.921155       
0.1778     40.933805       213.941674      270.834535       
0.1889     40.540083       209.154895      255.678073       
0.1950     40.445146       206.506212      247.342701       
0.2000     40.375472       204.345920      240.521611       
0.2111     40.358611       201.250959      228.914409       
0.2222     40.396229       200.957038      223.116618       
0.2333     40.460332       200.637580      217.318827       
0.2444     40.524549       200.072335      210.704058       
0.2556     40.546383       198.891004      201.932830       
0.2667     40.583715       197.703528      193.169490       
0.2778     40.625673       196.461974      184.376635       
0.2889     40.639942       195.003429      175.442324       
0.3000     40.657689       193.541902      166.508012       
0.3111     40.676999       192.077348      157.633879       
0.3222     40.684469       190.598457      149.573349       
0.3333     40.693532       189.118087      141.512819       
0.3444     40.703883       187.636540      133.452289       
0.3556     40.696574       185.936154      126.113598       
0.3667     40.688616       184.240027      118.807814       
0.3778     40.680083       182.543659      111.502030       
0.3889     40.663514       180.230609      104.637501       
0.4000     40.644009       177.819413      97.843463        
0.4111     40.622052       175.421081      91.049424        
0.4222     40.595416       172.445955      84.787057        
0.4333     40.564430       169.287828      78.693973        
0.4444     40.528988       166.130829      72.600888        
0.4556     40.495857       163.136671      67.375552        
0.4667     40.461431       160.247683      62.614351        
0.4778     40.420702       157.360863      57.853149        
0.4889     40.389178       154.654063      53.714093        
0.5000     40.363931       152.094263      50.080212        
0.5111     40.331026       149.537717      46.446332        
0.5222     40.306963       147.104881      43.205953        
0.5333     40.296037       144.823931      40.450187        
0.5444     40.276099       142.547302      37.694421        
0.5556     40.258113       140.369231      35.190000        
0.5667     40.253205       138.400238      33.169401        
0.5778     40.237411       136.436721      31.148802        
0.5889     40.217833       134.326236      29.217206        
0.6000     40.211865       131.742017      27.565149        
0.6111     40.192865       129.154154      25.913091        
0.6222     40.167044       126.514683      24.308062        
0.6333     40.168512       123.516952      22.997419        
0.6444     40.158639       120.525121      21.686777        
0.6556     40.138931       117.542969      20.387544        
0.6667     40.141977       114.854655      19.437773        
0.6778     40.135630       112.171115      18.488002        
0.6889     40.120481       109.491982      17.538232        
0.7000     40.124804       107.012187      16.787443        
0.7111     40.123888       104.550532      16.051372        
0.7222     40.116363       102.092159      15.315301        
0.7333     40.117956       99.738531       14.701818        
0.7444     40.100835       97.408683       14.113913        
0.7556     40.046783       95.078084       13.525478        
0.7667     39.982356       92.832275       13.011094        
0.7778     39.894805       90.618252       12.524666        
0.7889     39.777255       88.405214       12.038238        
0.8000     39.676612       84.776580       11.390015        
0.8111     39.578067       80.316236       10.642943        
0.8222     39.456602       75.855550       9.895871         
0.8333     39.375540       71.335740       9.267491         
0.8444     39.333712       66.760228       8.749999         
0.8556     39.280004       62.179438       8.232041         
0.8667     39.217592       57.569336       7.647002         
0.8778     39.163520       52.910632       6.966405         
0.8889     39.164463       48.223784       6.285808         
0.9000     39.183879       43.421782       5.535663         
0.9111     39.170345       38.399557       4.630990         
0.9222     39.331326       33.320205       3.726317         
0.9333     39.660528       28.135879       2.850988         
0.9444     39.982972       22.729139       2.088332         
0.9556     40.867709       17.191853       1.324990         
0.9667     42.385420       11.810984       0.620040         
0.9700     41.871045       10.756268       0.558144         
0.9778     40.660818       8.233072        0.413535         
0.9889     38.643922       4.524895        0.207030         
1.0000     47.033603       0.695405        0.000525         
