MATERIALS: 
	 1     BALSA                          
	 2     BIAXIAL                        
	 3     PAINT                          
	 4     REINFORCEMENT                  
	 5     TRIAXIAL                       
	 6     UNIDIRECTIONAL                 
ELEMENT_1: 
	 Elements ID: 
	 	 1	 	 234	 	 467	 	 700
	 	 2	 	 235	 	 468	 	 701
	 	 3	 	 236	 	 469	 	 702
	 	 4	 	 237	 	 470	 	 703
	 	 5	 	 238	 	 471	 	 704
	 	 6	 	 239	 	 472	 	 705
	 	 7	 	 240	 	 473	 	 706
	 	 8	 	 241	 	 474	 	 707
	 	 9	 	 242	 	 475	 	 708
	 	 10	 	 243	 	 476	 	 709
	 Materials ID: 
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
ELEMENT_2: 
	 Elements ID: 
	 	 11	 	 244	 	 477	 	 710
	 	 12	 	 245	 	 478	 	 711
	 	 13	 	 246	 	 479	 	 712
	 	 14	 	 247	 	 480	 	 713
	 	 15	 	 248	 	 481	 	 714
	 	 16	 	 249	 	 482	 	 715
	 	 17	 	 250	 	 483	 	 716
	 	 18	 	 251	 	 484	 	 717
	 	 19	 	 252	 	 485	 	 718
	 	 20	 	 253	 	 486	 	 719
	 	 21	 	 254	 	 487	 	 720
	 	 22	 	 255	 	 488	 	 721
	 	 23	 	 256	 	 489	 	 722
	 	 24	 	 257	 	 490	 	 723
	 	 25	 	 258	 	 491	 	 724
	 	 26	 	 259	 	 492	 	 725
	 	 27	 	 260	 	 493	 	 726
	 	 28	 	 261	 	 494	 	 727
	 	 29	 	 262	 	 495	 	 728
	 	 30	 	 263	 	 496	 	 729
	 	 31	 	 264	 	 497	 	 730
	 	 32	 	 265	 	 498	 	 731
	 	 33	 	 266	 	 499	 	 732
	 	 34	 	 267	 	 500	 	 733
	 	 35	 	 268	 	 501	 	 734
	 	 36	 	 269	 	 502	 	 735
	 	 37	 	 270	 	 503	 	 736
	 	 38	 	 271	 	 504	 	 737
	 	 39	 	 272	 	 505	 	 738
	 	 40	 	 273	 	 506	 	 739
	 	 41	 	 274	 	 507	 	 740
	 	 42	 	 275	 	 508	 	 741
	 	 43	 	 276	 	 509	 	 742
	 	 44	 	 277	 	 510	 	 743
	 	 45	 	 278	 	 511	 	 744
	 	 46	 	 279	 	 512	 	 745
	 	 47	 	 280	 	 513	 	 746
	 	 48	 	 281	 	 514	 	 747
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
ELEMENT_3: 
	 Elements ID: 
	 	 49	 	 282	 	 515	 	 748
	 	 50	 	 283	 	 516	 	 749
	 	 51	 	 284	 	 517	 	 750
	 	 52	 	 285	 	 518	 	 751
	 	 53	 	 286	 	 519	 	 752
	 	 54	 	 287	 	 520	 	 753
	 	 55	 	 288	 	 521	 	 754
	 	 56	 	 289	 	 522	 	 755
	 	 57	 	 290	 	 523	 	 756
	 	 58	 	 291	 	 524	 	 757
	 	 59	 	 292	 	 525	 	 758
	 	 60	 	 293	 	 526	 	 759
	 	 61	 	 294	 	 527	 	 760
	 	 62	 	 295	 	 528	 	 761
	 	 63	 	 296	 	 529	 	 762
	 	 64	 	 297	 	 530	 	 763
	 	 65	 	 298	 	 531	 	 764
	 	 66	 	 299	 	 532	 	 765
	 	 67	 	 300	 	 533	 	 766
	 	 68	 	 301	 	 534	 	 767
	 	 69	 	 302	 	 535	 	 768
	 	 70	 	 303	 	 536	 	 769
	 	 71	 	 304	 	 537	 	 770
	 	 72	 	 305	 	 538	 	 771
	 	 73	 	 306	 	 539	 	 772
	 	 74	 	 307	 	 540	 	 773
	 	 75	 	 308	 	 541	 	 774
	 	 76	 	 309	 	 542	 	 775
	 Materials ID: 
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
