MATERIALS: 
	 1     BALSA                          
	 2     BIAXIAL                        
	 3     FICT_WEBS                      
	 4     PAINT                          
	 5     REINFORCEMENT                  
	 6     TRIAXIAL                       
	 7     UNIDIRECTIONAL                 
ELEMENT_1: 
	 Elements ID: 
	 	 1	 	 224	 	 447
	 	 2	 	 225	 	 448
	 	 3	 	 226	 	 449
	 	 4	 	 227	 	 450
	 	 5	 	 228	 	 451
	 	 6	 	 229	 	 452
	 	 7	 	 230	 	 453
	 	 8	 	 231	 	 454
	 	 9	 	 232	 	 455
	 	 10	 	 233	 	 456
	 	 11	 	 234	 	 457
	 	 12	 	 235	 	 458
	 Materials ID: 
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
ELEMENT_2: 
	 Elements ID: 
	 	 13	 	 236	 	 459
	 	 14	 	 237	 	 460
	 	 15	 	 238	 	 461
	 	 16	 	 239	 	 462
	 	 17	 	 240	 	 463
	 	 18	 	 241	 	 464
	 	 19	 	 242	 	 465
	 	 20	 	 243	 	 466
	 	 21	 	 244	 	 467
	 	 22	 	 245	 	 468
	 	 23	 	 246	 	 469
	 	 24	 	 247	 	 470
	 Materials ID: 
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
ELEMENT_3: 
	 Elements ID: 
	 	 25	 	 248	 	 471
	 	 26	 	 249	 	 472
	 	 27	 	 250	 	 473
	 	 28	 	 251	 	 474
	 	 29	 	 252	 	 475
	 	 30	 	 253	 	 476
	 	 31	 	 254	 	 477
	 	 32	 	 255	 	 478
	 	 33	 	 256	 	 479
	 	 34	 	 257	 	 480
	 	 35	 	 258	 	 481
	 	 36	 	 259	 	 482
	 	 37	 	 260	 	 483
	 	 38	 	 261	 	 484
	 	 39	 	 262	 	 485
	 	 40	 	 263	 	 486
	 	 41	 	 264	 	 487
	 	 42	 	 265	 	 488
	 	 43	 	 266	 	 489
	 	 44	 	 267	 	 490
	 	 45	 	 268	 	 491
	 	 46	 	 269	 	 492
	 	 47	 	 270	 	 493
	 	 48	 	 271	 	 494
	 	 49	 	 272	 	 495
	 	 50	 	 273	 	 496
	 	 51	 	 274	 	 497
	 	 52	 	 275	 	 498
