Airtables :
    Airtable :
      Name: airtable_1   ; 
      TableOfLiftCoefficients :
         NumberOfTerms :          2 ,        135 ;
                      0               10000000000  
         -180             0             0 
         -170             0             0 
         -160             0             0 
         -150             0             0 
         -140             0             0 
         -130             0             0 
         -120             0             0 
         -110             0             0 
         -100             0             0 
          -90             0             0 
          -80             0             0 
          -70             0             0 
          -60             0             0 
          -50             0             0 
          -49             0             0 
          -48             0             0 
          -47             0             0 
          -46             0             0 
          -45             0             0 
          -44             0             0 
          -43             0             0 
          -42             0             0 
          -41             0             0 
          -40             0             0 
          -39             0             0 
          -38             0             0 
          -37             0             0 
          -36             0             0 
          -35             0             0 
          -34             0             0 
          -33             0             0 
          -32             0             0 
          -31             0             0 
          -30             0             0 
          -29             0             0 
          -28             0             0 
          -27             0             0 
          -26             0             0 
          -25             0             0 
          -24             0             0 
          -23             0             0 
          -22             0             0 
          -21             0             0 
          -20             0             0 
          -19             0             0 
          -18             0             0 
          -17             0             0 
          -16             0             0 
          -15             0             0 
          -14    5.551115123125783e-17    5.551115123125783e-17 
          -13             0             0 
          -12             0             0 
          -11             0             0 
          -10             0             0 
           -9             0             0 
           -8             0             0 
           -7             0             0 
           -6             0             0 
           -5             0             0 
           -4             0             0 
         -3.5             0             0 
           -3             0             0 
         -2.5             0             0 
           -2             0             0 
         -1.5             0             0 
           -1             0             0 
         -0.5             0             0 
            0             0             0 
          0.5             0             0 
            1             0             0 
          1.5             0             0 
            2             0             0 
          2.5             0             0 
            3             0             0 
          3.5             0             0 
            4             0             0 
            5             0             0 
            6    1.110223024625157e-16    1.110223024625157e-16 
            7             0             0 
            8             0             0 
            9             0             0 
           10             0             0 
           11             0             0 
           12             0             0 
           13             0             0 
           14             0             0 
           15             0             0 
           16             0             0 
           17             0             0 
           18             0             0 
           19             0             0 
           20             0             0 
           21             0             0 
           22             0             0 
           23             0             0 
           24             0             0 
           25             0             0 
           26    -2.220446049250313e-16    -2.220446049250313e-16 
           27             0             0 
           28             0             0 
           29             0             0 
           30    2.220446049250313e-16    2.220446049250313e-16 
           31             0             0 
           32    -2.220446049250313e-16    -2.220446049250313e-16 
           33    2.220446049250313e-16    2.220446049250313e-16 
           34             0             0 
           35    2.220446049250313e-16    2.220446049250313e-16 
           36             0             0 
           37             0             0 
           38    2.220446049250313e-16    2.220446049250313e-16 
           39    2.220446049250313e-16    2.220446049250313e-16 
           40    2.220446049250313e-16    2.220446049250313e-16 
           41             0             0 
           42             0             0 
           43             0             0 
           44             0             0 
           45             0             0 
           46             0             0 
           47             0             0 
           48             0             0 
           49             0             0 
           50             0             0 
           60             0             0 
           70             0             0 
           80             0             0 
           90             0             0 
          100             0             0 
          110             0             0 
          120             0             0 
          130             0             0 
          140             0             0 
          150             0             0 
          160             0             0 
          170             0             0 
          180             0             0 
         ;
      TableOfDragCoefficients : 
         NumberOfTerms :          2 ,        135;
                      0               10000000000  
         -180          0.35          0.35 
         -170          0.35          0.35 
         -160          0.35          0.35 
         -150          0.35          0.35 
         -140          0.35          0.35 
         -130          0.35          0.35 
         -120          0.35          0.35 
         -110          0.35          0.35 
         -100    0.3499999999999999    0.3499999999999999 
          -90    0.3500000000000001    0.3500000000000001 
          -80          0.35          0.35 
          -70          0.35          0.35 
          -60          0.35          0.35 
          -50          0.35          0.35 
          -49          0.35          0.35 
          -48          0.35          0.35 
          -47          0.35          0.35 
          -46          0.35          0.35 
          -45          0.35          0.35 
          -44          0.35          0.35 
          -43          0.35          0.35 
          -42          0.35          0.35 
          -41          0.35          0.35 
          -40          0.35          0.35 
          -39          0.35          0.35 
          -38          0.35          0.35 
          -37          0.35          0.35 
          -36          0.35          0.35 
          -35          0.35          0.35 
          -34          0.35          0.35 
          -33          0.35          0.35 
          -32          0.35          0.35 
          -31          0.35          0.35 
          -30          0.35          0.35 
          -29          0.35          0.35 
          -28          0.35          0.35 
          -27          0.35          0.35 
          -26          0.35          0.35 
          -25          0.35          0.35 
          -24          0.35          0.35 
          -23          0.35          0.35 
          -22          0.35          0.35 
          -21          0.35          0.35 
          -20          0.35          0.35 
          -19          0.35          0.35 
          -18          0.35          0.35 
          -17          0.35          0.35 
          -16          0.35          0.35 
          -15          0.35          0.35 
          -14          0.35          0.35 
          -13          0.35          0.35 
          -12          0.35          0.35 
          -11          0.35          0.35 
          -10          0.35          0.35 
           -9          0.35          0.35 
           -8          0.35          0.35 
           -7          0.35          0.35 
           -6          0.35          0.35 
           -5          0.35          0.35 
           -4          0.35          0.35 
         -3.5          0.35          0.35 
           -3          0.35          0.35 
         -2.5          0.35          0.35 
           -2          0.35          0.35 
         -1.5          0.35          0.35 
           -1          0.35          0.35 
         -0.5          0.35          0.35 
            0          0.35          0.35 
          0.5          0.35          0.35 
            1          0.35          0.35 
          1.5          0.35          0.35 
            2          0.35          0.35 
          2.5          0.35          0.35 
            3          0.35          0.35 
          3.5          0.35          0.35 
            4          0.35          0.35 
            5          0.35          0.35 
            6          0.35          0.35 
            7          0.35          0.35 
            8          0.35          0.35 
            9          0.35          0.35 
           10          0.35          0.35 
           11          0.35          0.35 
           12          0.35          0.35 
           13          0.35          0.35 
           14          0.35          0.35 
           15          0.35          0.35 
           16          0.35          0.35 
           17          0.35          0.35 
           18          0.35          0.35 
           19          0.35          0.35 
           20          0.35          0.35 
           21          0.35          0.35 
           22          0.35          0.35 
           23          0.35          0.35 
           24          0.35          0.35 
           25          0.35          0.35 
           26          0.35          0.35 
           27          0.35          0.35 
           28          0.35          0.35 
           29          0.35          0.35 
           30          0.35          0.35 
           31          0.35          0.35 
           32          0.35          0.35 
           33          0.35          0.35 
           34          0.35          0.35 
           35          0.35          0.35 
           36          0.35          0.35 
           37          0.35          0.35 
           38          0.35          0.35 
           39          0.35          0.35 
           40          0.35          0.35 
           41    0.3500000000000001    0.3500000000000001 
           42    0.3500000000000001    0.3500000000000001 
           43    0.3499999999999999    0.3499999999999999 
           44    0.3500000000000001    0.3500000000000001 
           45    0.3500000000000001    0.3500000000000001 
           46    0.3500000000000001    0.3500000000000001 
           47    0.3499999999999999    0.3499999999999999 
           48    0.3500000000000001    0.3500000000000001 
           49    0.3499999999999999    0.3499999999999999 
           50    0.3500000000000001    0.3500000000000001 
           60    0.3499999999999999    0.3499999999999999 
           70    0.3499999999999999    0.3499999999999999 
           80    0.3500000000000001    0.3500000000000001 
           90    0.3499999999999999    0.3499999999999999 
          100    0.3499999999999999    0.3499999999999999 
          110    0.3500000000000001    0.3500000000000001 
          120          0.35          0.35 
          130          0.35          0.35 
          140          0.35          0.35 
          150          0.35          0.35 
          160          0.35          0.35 
          170          0.35          0.35 
          180          0.35          0.35 
         ;
      TableOfMomeCoefficients : 
         NumberOfTerms :          2 ,        135 ;
                      0               10000000000  
         -180             0             0 
         -170             0             0 
         -160             0             0 
         -150             0             0 
         -140             0             0 
         -130             0             0 
         -120             0             0 
         -110             0             0 
         -100             0             0 
          -90             0             0 
          -80             0             0 
          -70             0             0 
          -60             0             0 
          -50             0             0 
          -49             0             0 
          -48    -2.775557561562891e-17    -2.775557561562891e-17 
          -47             0             0 
          -46             0             0 
          -45             0             0 
          -44             0             0 
          -43             0             0 
          -42             0             0 
          -41             0             0 
          -40             0             0 
          -39             0             0 
          -38             0             0 
          -37             0             0 
          -36             0             0 
          -35             0             0 
          -34             0             0 
          -33             0             0 
          -32             0             0 
          -31             0             0 
          -30             0             0 
          -29             0             0 
          -28             0             0 
          -27             0             0 
          -26             0             0 
          -25             0             0 
          -24             0             0 
          -23             0             0 
          -22             0             0 
          -21             0             0 
          -20             0             0 
          -19             0             0 
          -18             0             0 
          -17             0             0 
          -16             0             0 
          -15             0             0 
          -14             0             0 
          -13             0             0 
          -12             0             0 
          -11             0             0 
          -10             0             0 
           -9             0             0 
           -8             0             0 
           -7             0             0 
           -6             0             0 
           -5             0             0 
           -4             0             0 
         -3.5             0             0 
           -3             0             0 
         -2.5             0             0 
           -2             0             0 
         -1.5             0             0 
           -1             0             0 
         -0.5             0             0 
            0             0             0 
          0.5             0             0 
            1             0             0 
          1.5             0             0 
            2             0             0 
          2.5             0             0 
            3             0             0 
          3.5             0             0 
            4             0             0 
            5             0             0 
            6             0             0 
            7             0             0 
            8             0             0 
            9             0             0 
           10             0             0 
           11             0             0 
           12             0             0 
           13             0             0 
           14             0             0 
           15             0             0 
           16             0             0 
           17             0             0 
           18             0             0 
           19    1.387778780781446e-17    1.387778780781446e-17 
           20             0             0 
           21             0             0 
           22             0             0 
           23             0             0 
           24             0             0 
           25             0             0 
           26             0             0 
           27             0             0 
           28             0             0 
           29             0             0 
           30             0             0 
           31             0             0 
           32             0             0 
           33             0             0 
           34             0             0 
           35             0             0 
           36             0             0 
           37             0             0 
           38             0             0 
           39             0             0 
           40    2.775557561562891e-17    2.775557561562891e-17 
           41             0             0 
           42             0             0 
           43             0             0 
           44             0             0 
           45             0             0 
           46             0             0 
           47             0             0 
           48             0             0 
           49             0             0 
           50             0             0 
           60             0             0 
           70             0             0 
           80             0             0 
           90             0             0 
          100             0             0 
          110             0             0 
          120             0             0 
          130             0             0 
          140             0             0 
          150             0             0 
          160             0             0 
          170             0             0 
          180             0             0 
         ;
#         DynamicStallCoefficientEta:    0.20, 0.20  ;
#         DynamicStallCoefficientOmega:  0.25, 0.05  ;
#         DynamicStallCoefficientE:      0.00, 0.00;
    ;
    Airtable :
      Name: airtable_2   ; 
      TableOfLiftCoefficients :
         NumberOfTerms :          2 ,        135 ;
                      0               10000000000  
         -180             0             0 
         -170    0.03471222433333326    0.03471222433333326 
         -160    0.05613412600000001    0.05613412600000001 
         -150    0.06618930433333325    0.06618930433333325 
         -140    0.06662648599999998    0.06662648599999998 
         -130    0.05945670666666658    0.05945670666666658 
         -120    0.04651612933333332    0.04651612933333332 
         -110    0.02946604433333327    0.02946604433333327 
         -100    0.009967742000000002    0.009967742000000002 
          -90    -0.01049235999999998    -0.01049235999999998 
          -80    -0.03051528033333328    -0.03051528033333328 
          -70    -0.04870203766666659    -0.04870203766666659 
          -60    -0.06356621433333332    -0.06356621433333332 
          -50    -0.07362139266666656    -0.07362139266666656 
          -49    -0.074314238172    -0.074314238172 
          -48    -0.07494106924566657    -0.07494106924566657 
          -47    -0.07550118639699988    -0.07550118639699988 
          -46    -0.07599415244433327    -0.07599415244433327 
          -45    -0.07641935533333322    -0.07641935533333322 
          -44    -0.07677600813699992    -0.07677600813699992 
          -43    -0.07706183751066664    -0.07706183751066664 
          -42    -0.07727422036433329    -0.07727422036433329 
          -41    -0.07741070848066667    -0.07741070848066667 
          -40    -0.07746859133333328    -0.07746859133333328 
          -39    -0.07744550814133333    -0.07744550814133333 
          -38    -0.07733953530533322    -0.07733953530533322 
          -37    -0.07714892409866658    -0.07714892409866658 
          -36    -0.07687192579466662    -0.07687192579466662 
          -35    -0.07650679166666663    -0.07650679166666663 
          -34    -0.07605229760599996    -0.07605229760599996 
          -33    -0.07550905566699995    -0.07550905566699995 
          -32    -0.07487828995833323    -0.07487828995833323 
