MATERIALS: 
	 1     BALSA                          
	 2     BIAXIAL                        
	 3     FICT_WEBS                      
	 4     PAINT                          
	 5     REINFORCEMENT                  
	 6     TRIAXIAL                       
	 7     UNIDIRECTIONAL                 
ELEMENT_1: 
	 Elements ID: 
	 	 1	 	 309	 	 617
	 	 2	 	 310	 	 618
	 	 3	 	 311	 	 619
	 	 4	 	 312	 	 620
	 	 5	 	 313	 	 621
	 	 6	 	 314	 	 622
	 	 7	 	 315	 	 623
	 	 8	 	 316	 	 624
	 	 9	 	 317	 	 625
	 	 10	 	 318	 	 626
	 	 11	 	 319	 	 627
	 	 12	 	 320	 	 628
	 	 13	 	 321	 	 629
	 	 14	 	 322	 	 630
	 	 15	 	 323	 	 631
	 	 16	 	 324	 	 632
	 	 17	 	 325	 	 633
	 	 18	 	 326	 	 634
	 	 19	 	 327	 	 635
	 	 20	 	 328	 	 636
	 	 21	 	 329	 	 637
	 	 22	 	 330	 	 638
	 	 23	 	 331	 	 639
	 Materials ID: 
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
ELEMENT_2: 
	 Elements ID: 
	 	 24	 	 332	 	 640
	 	 25	 	 333	 	 641
	 	 26	 	 334	 	 642
	 	 27	 	 335	 	 643
	 	 28	 	 336	 	 644
	 	 29	 	 337	 	 645
	 	 30	 	 338	 	 646
	 	 31	 	 339	 	 647
	 	 32	 	 340	 	 648
	 	 33	 	 341	 	 649
	 Materials ID: 
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
ELEMENT_3: 
	 Elements ID: 
	 	 34	 	 342	 	 650
	 	 35	 	 343	 	 651
	 	 36	 	 344	 	 652
	 	 37	 	 345	 	 653
	 	 38	 	 346	 	 654
	 	 39	 	 347	 	 655
	 	 40	 	 348	 	 656
	 	 41	 	 349	 	 657
	 	 42	 	 350	 	 658
	 	 43	 	 351	 	 659
	 	 44	 	 352	 	 660
	 	 45	 	 353	 	 661
	 	 46	 	 354	 	 662
	 	 47	 	 355	 	 663
	 	 48	 	 356	 	 664
	 	 49	 	 357	 	 665
	 	 50	 	 358	 	 666
	 	 51	 	 359	 	 667
	 	 52	 	 360	 	 668
	 	 53	 	 361	 	 669
	 	 54	 	 362	 	 670
	 	 55	 	 363	 	 671
	 	 56	 	 364	 	 672
	 	 57	 	 365	 	 673
	 	 58	 	 366	 	 674
	 	 59	 	 367	 	 675
	 	 60	 	 368	 	 676
	 	 61	 	 369	 	 677
	 	 62	 	 370	 	 678
	 	 63	 	 371	 	 679
	 	 64	 	 372	 	 680
	 	 65	 	 373	 	 681
	 	 66	 	 374	 	 682
	 Materials ID: 
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
ELEMENT_4: 
	 Elements ID: 
	 	 67	 	 375	 	 683
	 	 68	 	 376	 	 684
	 	 69	 	 377	 	 685
	 	 70	 	 378	 	 686
	 	 71	 	 379	 	 687
	 	 72	 	 380	 	 688
	 	 73	 	 381	 	 689
	 	 74	 	 382	 	 690
	 	 75	 	 383	 	 691
	 Materials ID: 
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
ELEMENT_5: 
	 Elements ID: 
	 	 76	 	 384	 	 692
	 	 77	 	 385	 	 693
	 	 78	 	 386	 	 694
	 	 79	 	 387	 	 695
	 	 80	 	 388	 	 696
	 	 81	 	 389	 	 697
	 	 82	 	 390	 	 698
	 	 83	 	 391	 	 699
	 	 84	 	 392	 	 700
	 	 85	 	 393	 	 701
	 	 86	 	 394	 	 702
	 	 87	 	 395	 	 703
	 	 88	 	 396	 	 704
	 	 89	 	 397	 	 705
	 	 90	 	 398	 	 706
	 	 91	 	 399	 	 707
	 	 92	 	 400	 	 708
	 	 93	 	 401	 	 709
	 	 94	 	 402	 	 710
	 	 95	 	 403	 	 711
	 	 96	 	 404	 	 712
	 	 97	 	 405	 	 713
	 	 98	 	 406	 	 714
	 	 99	 	 407	 	 715
	 Materials ID: 
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
ELEMENT_6: 
	 Elements ID: 
	 	 100	 	 408	 	 716
	 	 101	 	 409	 	 717
	 	 102	 	 410	 	 718
	 	 103	 	 411	 	 719
	 	 104	 	 412	 	 720
	 	 105	 	 413	 	 721
	 	 106	 	 414	 	 722
