%--------------------------------% 
%      BLADE MASS DEFINITION     % 
%--------------------------------% 

% Distance from root [-]     Centre of Mass [% chord]     Mass/unit length [kg/m]      Mom. Inertia/unit length [kgm] 



0.0000     50.000000       754.183394      612.328409       
0.0111     49.961055       614.863994      487.567700       
0.0222     49.922041       473.861757      362.582196       
0.0333     49.360931       333.418613      238.046281       
0.0444     49.406511       306.263003      230.208844       
0.0556     48.875681       292.670961      236.302438       
0.0667     47.865422       279.148657      242.390552       
0.0778     46.819176       263.438846      247.907454       
0.0889     45.989909       247.174937      253.275597       
0.1000     45.369045       230.915210      258.643740       
0.1111     44.613777       226.436784      269.294728       
0.1222     43.895773       227.261102      282.323341       
0.1333     43.318594       228.022565      295.351954       
0.1444     42.614646       226.074591      296.478236       
0.1556     41.897548       222.211791      289.184482       
0.1667     41.386898       218.283361      281.897288       
0.1778     40.931544       213.949690      270.823272       
0.1889     40.534335       209.187810      255.695980       
0.1950     40.437403       206.552907      247.376651       
0.2000     40.365925       204.404063      240.568689       
0.2111     40.350062       201.307966      228.964556       
0.2222     40.393028       200.973333      223.127114       
0.2333     40.463112       200.612591      217.289672       
0.2444     40.531056       200.023895      210.649777       
0.2556     40.549659       198.866730      201.891631       
0.2667     40.582928       197.704103      193.141362       
0.2778     40.622774       196.481703      184.363409       
0.2889     40.637526       195.021804      175.452779       
0.3000     40.657791       193.557126      166.542149       
0.3111     40.677596       192.090922      157.688496       
0.3222     40.684074       190.606994      149.605144       
0.3333     40.693460       189.120449      141.521793       
0.3444     40.703227       187.633485      133.438442       
0.3556     40.697708       185.929691      126.106205       
0.3667     40.691554       184.230348      118.807925       
0.3778     40.685135       182.530588      111.509646       
0.3889     40.667588       180.218845      104.639455       
0.4000     40.647479       177.809001      97.837651        
0.4111     40.623382       175.413121      91.035847        
0.4222     40.593603       172.452208      84.785354        
0.4333     40.561962       169.309955      78.710399        
0.4444     40.522324       166.171290      72.635443        
0.4556     40.491283       163.173049      67.409512        
0.4667     40.457975       160.271261      62.637855        
0.4778     40.419633       157.370839      57.866199        
0.4889     40.390684       154.656281      53.720970        
0.5000     40.365441       152.095238      50.084395        
0.5111     40.331697       149.537984      46.447820        
0.5222     40.306592       147.105114      43.205953        
0.5333     40.294976       144.824587      40.450187        
0.5444     40.275095       142.547913      37.694421        
0.5556     40.258596       140.370025      35.191352        
0.5667     40.253396       138.404349      33.174669        
0.5778     40.239792       136.442703      31.157987        
0.5889     40.218213       134.332439      29.228379        
0.6000     40.216813       131.731866      27.572249        
0.6111     40.202485       129.127670      25.916120        
0.6222     40.179619       126.475974      24.307266        
0.6333     40.178750       123.488259      22.994350        
0.6444     40.160060       120.509895      21.681433        
0.6556     40.137736       117.537614      20.380137        
0.6667     40.140725       114.852808      19.434178        
0.6778     40.134640       112.172610      18.488219        
0.6889     40.119255       109.497083      17.542260        
0.7000     40.126026       107.016213      16.791630        
0.7111     40.125588       104.554275      16.055448        
0.7222     40.115783       102.097043      15.319266        
0.7333     40.116079       99.742855       14.704712        
0.7444     40.102730       97.409595       14.115535        
0.7556     40.047363       95.078194       13.525829        
0.7667     39.980916       92.833297       13.011529        
0.7778     39.894398       90.619145       12.525701        
0.7889     39.779908       88.404957       12.039873        
0.8000     39.678314       84.777492       11.392249        
0.8111     39.578949       80.318424       10.645774        
0.8222     39.456344       75.859170       9.899300         
0.8333     39.377240       71.337125       9.269722         
0.8444     39.334741       66.758697       8.749355         
0.8556     39.279861       62.175234       8.228519         
0.8667     39.217882       57.564092       7.642653         
0.8778     39.164214       52.907715       6.964128         
0.8889     39.167536       48.222341       6.285603         
0.9000     39.182205       43.423730       5.536692         
0.9111     39.172659       38.398981       4.631389         
0.9222     39.332527       33.319156       3.726086         
0.9333     39.659599       28.134995       2.850321         
0.9444     39.986133       22.728000       2.087976         
0.9556     40.865172       17.192887       1.324944         
0.9667     42.385599       11.812099       0.620264         
0.9700     41.869157       10.757571       0.558346         
0.9778     40.671881       8.232565        0.413684         
0.9889     38.641299       4.525498        0.207104         
1.0000     47.033603       0.695405        0.000525         
