MATERIALS: 
	 1     BALSA                          
	 2     BIAXIAL                        
	 3     PAINT                          
	 4     REINFORCEMENT                  
	 5     TRIAXIAL                       
	 6     UNIDIRECTIONAL                 
ELEMENT_1: 
	 Elements ID: 
	 	 1	 	 250	 	 499	 	 748
	 	 2	 	 251	 	 500	 	 749
	 	 3	 	 252	 	 501	 	 750
	 	 4	 	 253	 	 502	 	 751
	 	 5	 	 254	 	 503	 	 752
	 	 6	 	 255	 	 504	 	 753
	 	 7	 	 256	 	 505	 	 754
	 	 8	 	 257	 	 506	 	 755
	 	 9	 	 258	 	 507	 	 756
	 	 10	 	 259	 	 508	 	 757
	 Materials ID: 
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
ELEMENT_2: 
	 Elements ID: 
	 	 11	 	 260	 	 509	 	 758
	 	 12	 	 261	 	 510	 	 759
	 	 13	 	 262	 	 511	 	 760
	 	 14	 	 263	 	 512	 	 761
	 	 15	 	 264	 	 513	 	 762
	 	 16	 	 265	 	 514	 	 763
	 	 17	 	 266	 	 515	 	 764
	 	 18	 	 267	 	 516	 	 765
	 	 19	 	 268	 	 517	 	 766
	 	 20	 	 269	 	 518	 	 767
	 	 21	 	 270	 	 519	 	 768
	 	 22	 	 271	 	 520	 	 769
	 	 23	 	 272	 	 521	 	 770
	 	 24	 	 273	 	 522	 	 771
	 	 25	 	 274	 	 523	 	 772
	 	 26	 	 275	 	 524	 	 773
	 	 27	 	 276	 	 525	 	 774
	 	 28	 	 277	 	 526	 	 775
	 	 29	 	 278	 	 527	 	 776
	 	 30	 	 279	 	 528	 	 777
	 	 31	 	 280	 	 529	 	 778
	 	 32	 	 281	 	 530	 	 779
	 	 33	 	 282	 	 531	 	 780
	 	 34	 	 283	 	 532	 	 781
	 	 35	 	 284	 	 533	 	 782
	 	 36	 	 285	 	 534	 	 783
	 	 37	 	 286	 	 535	 	 784
	 	 38	 	 287	 	 536	 	 785
	 	 39	 	 288	 	 537	 	 786
	 	 40	 	 289	 	 538	 	 787
	 	 41	 	 290	 	 539	 	 788
