MATERIALS: 
	 1     BALSA                          
	 2     BIAXIAL                        
	 3     PAINT                          
	 4     REINFORCEMENT                  
	 5     TRIAXIAL                       
	 6     UNIDIRECTIONAL                 
ELEMENT_1: 
	 Elements ID: 
	 	 1	 	 222	 	 443	 	 664
	 	 2	 	 223	 	 444	 	 665
	 	 3	 	 224	 	 445	 	 666
	 	 4	 	 225	 	 446	 	 667
	 	 5	 	 226	 	 447	 	 668
	 	 6	 	 227	 	 448	 	 669
	 	 7	 	 228	 	 449	 	 670
	 	 8	 	 229	 	 450	 	 671
	 	 9	 	 230	 	 451	 	 672
	 	 10	 	 231	 	 452	 	 673
	 	 11	 	 232	 	 453	 	 674
	 	 12	 	 233	 	 454	 	 675
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
ELEMENT_2: 
	 Elements ID: 
	 	 13	 	 234	 	 455	 	 676
	 	 14	 	 235	 	 456	 	 677
	 	 15	 	 236	 	 457	 	 678
	 	 16	 	 237	 	 458	 	 679
	 	 17	 	 238	 	 459	 	 680
	 	 18	 	 239	 	 460	 	 681
	 	 19	 	 240	 	 461	 	 682
	 	 20	 	 241	 	 462	 	 683
	 	 21	 	 242	 	 463	 	 684
	 	 22	 	 243	 	 464	 	 685
	 	 23	 	 244	 	 465	 	 686
	 	 24	 	 245	 	 466	 	 687
	 	 25	 	 246	 	 467	 	 688
	 	 26	 	 247	 	 468	 	 689
	 	 27	 	 248	 	 469	 	 690
	 	 28	 	 249	 	 470	 	 691
	 	 29	 	 250	 	 471	 	 692
	 	 30	 	 251	 	 472	 	 693
	 	 31	 	 252	 	 473	 	 694
	 	 32	 	 253	 	 474	 	 695
	 	 33	 	 254	 	 475	 	 696
	 	 34	 	 255	 	 476	 	 697
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
ELEMENT_3: 
	 Elements ID: 
	 	 35	 	 256	 	 477	 	 698
	 	 36	 	 257	 	 478	 	 699
	 	 37	 	 258	 	 479	 	 700
	 	 38	 	 259	 	 480	 	 701
	 	 39	 	 260	 	 481	 	 702
	 	 40	 	 261	 	 482	 	 703
	 	 41	 	 262	 	 483	 	 704
	 	 42	 	 263	 	 484	 	 705
	 	 43	 	 264	 	 485	 	 706
	 	 44	 	 265	 	 486	 	 707
	 	 45	 	 266	 	 487	 	 708
	 	 46	 	 267	 	 488	 	 709
	 	 47	 	 268	 	 489	 	 710
	 	 48	 	 269	 	 490	 	 711
	 	 49	 	 270	 	 491	 	 712
	 	 50	 	 271	 	 492	 	 713
	 	 51	 	 272	 	 493	 	 714
	 	 52	 	 273	 	 494	 	 715
	 	 53	 	 274	 	 495	 	 716
	 	 54	 	 275	 	 496	 	 717
	 	 55	 	 276	 	 497	 	 718
	 	 56	 	 277	 	 498	 	 719
	 	 57	 	 278	 	 499	 	 720
	 	 58	 	 279	 	 500	 	 721
	 	 59	 	 280	 	 501	 	 722
	 	 60	 	 281	 	 502	 	 723
	 	 61	 	 282	 	 503	 	 724
	 	 62	 	 283	 	 504	 	 725
	 	 63	 	 284	 	 505	 	 726
	 	 64	 	 285	 	 506	 	 727
	 	 65	 	 286	 	 507	 	 728
	 	 66	 	 287	 	 508	 	 729
	 	 67	 	 288	 	 509	 	 730
	 	 68	 	 289	 	 510	 	 731
	 	 69	 	 290	 	 511	 	 732
	 	 70	 	 291	 	 512	 	 733
	 	 71	 	 292	 	 513	 	 734
	 	 72	 	 293	 	 514	 	 735
	 	 73	 	 294	 	 515	 	 736
	 	 74	 	 295	 	 516	 	 737
	 	 75	 	 296	 	 517	 	 738
	 	 76	 	 297	 	 518	 	 739
	 	 77	 	 298	 	 519	 	 740
	 	 78	 	 299	 	 520	 	 741
	 	 79	 	 300	 	 521	 	 742
	 	 80	 	 301	 	 522	 	 743
	 	 81	 	 302	 	 523	 	 744
	 Materials ID: 
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
