MATERIALS: 
	 1     BALSA                          
	 2     BIAXIAL                        
	 3     PAINT                          
	 4     REINFORCEMENT                  
	 5     TRIAXIAL                       
	 6     UNIDIRECTIONAL                 
ELEMENT_1: 
	 Elements ID: 
	 	 1	 	 262	 	 523	 	 784
	 	 2	 	 263	 	 524	 	 785
	 	 3	 	 264	 	 525	 	 786
	 	 4	 	 265	 	 526	 	 787
	 	 5	 	 266	 	 527	 	 788
	 	 6	 	 267	 	 528	 	 789
	 	 7	 	 268	 	 529	 	 790
	 	 8	 	 269	 	 530	 	 791
	 	 9	 	 270	 	 531	 	 792
	 Materials ID: 
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
ELEMENT_2: 
	 Elements ID: 
	 	 10	 	 271	 	 532	 	 793
	 	 11	 	 272	 	 533	 	 794
	 	 12	 	 273	 	 534	 	 795
	 	 13	 	 274	 	 535	 	 796
	 	 14	 	 275	 	 536	 	 797
	 	 15	 	 276	 	 537	 	 798
	 	 16	 	 277	 	 538	 	 799
	 	 17	 	 278	 	 539	 	 800
	 	 18	 	 279	 	 540	 	 801
	 	 19	 	 280	 	 541	 	 802
	 	 20	 	 281	 	 542	 	 803
	 	 21	 	 282	 	 543	 	 804
	 	 22	 	 283	 	 544	 	 805
	 	 23	 	 284	 	 545	 	 806
	 	 24	 	 285	 	 546	 	 807
	 	 25	 	 286	 	 547	 	 808
	 	 26	 	 287	 	 548	 	 809
	 	 27	 	 288	 	 549	 	 810
	 	 28	 	 289	 	 550	 	 811
	 	 29	 	 290	 	 551	 	 812
	 	 30	 	 291	 	 552	 	 813
	 	 31	 	 292	 	 553	 	 814
	 	 32	 	 293	 	 554	 	 815
	 	 33	 	 294	 	 555	 	 816
	 	 34	 	 295	 	 556	 	 817
	 	 35	 	 296	 	 557	 	 818
	 	 36	 	 297	 	 558	 	 819
	 	 37	 	 298	 	 559	 	 820
	 	 38	 	 299	 	 560	 	 821
	 	 39	 	 300	 	 561	 	 822
	 	 40	 	 301	 	 562	 	 823
	 	 41	 	 302	 	 563	 	 824
	 	 42	 	 303	 	 564	 	 825
	 	 43	 	 304	 	 565	 	 826
	 	 44	 	 305	 	 566	 	 827
	 	 45	 	 306	 	 567	 	 828
	 	 46	 	 307	 	 568	 	 829
	 	 47	 	 308	 	 569	 	 830
	 	 48	 	 309	 	 570	 	 831
	 	 49	 	 310	 	 571	 	 832
	 	 50	 	 311	 	 572	 	 833
	 	 51	 	 312	 	 573	 	 834
	 	 52	 	 313	 	 574	 	 835
	 	 53	 	 314	 	 575	 	 836
	 	 54	 	 315	 	 576	 	 837
	 	 55	 	 316	 	 577	 	 838
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
ELEMENT_3: 
	 Elements ID: 
	 	 56	 	 317	 	 578	 	 839
	 	 57	 	 318	 	 579	 	 840
